DisNo.,type_name
2005-0396-TWN,"Slide (land, mud, snow, rock)"
2005-0409-IND,Broken Dam/Burst bank
2005-0409-IND,"Slide (land, mud, snow, rock)"
2005-0415-TUR,"Slide (land, mud, snow, rock)"
2005-0419-CHN,Rain
2005-0419-CHN,"Slide (land, mud, snow, rock)"
2005-0419-TWN,Flood
2005-0430-MYS,Pollution
2005-0430-THA,Pollution
2005-0464-JPN,Flood
2005-0464-JPN,"Slide (land, mud, snow, rock)"
2005-0467-USA,Broken Dam/Burst bank
2005-0467-USA,Flood
2005-0470-MEX,"Slide (land, mud, snow, rock)"
2005-0471-IND,"Slide (land, mud, snow, rock)"
2005-0474-CHN,"Slide (land, mud, snow, rock)"
2005-0476-VNM,Flood
2005-0485-ETH,Rain
2005-0492-CHN,Flood
2005-0492-CHN,"Slide (land, mud, snow, rock)"
2005-0497-JPN,Rain
2005-0497-JPN,"Slide (land, mud, snow, rock)"
2005-0504-IND,Broken Dam/Burst bank
2005-0505-CHN,Broken Dam/Burst bank
2005-0506-MYS,"Slide (land, mud, snow, rock)"
2005-0510-CHN,Flood
2005-0510-CHN,"Slide (land, mud, snow, rock)"
2005-0512-BEL,"Slide (land, mud, snow, rock)"
2005-0516-FRA,"Slide (land, mud, snow, rock)"
2005-0523-AUS,Rain
2005-0524-MEX,Flood
2005-0533-MMR,Flood
2005-0536-VNM,Rain
2005-0539-IND,"Slide (land, mud, snow, rock)"
2005-0540-CHN,Rain
